Date,Generation,Shipped,RMA,CIF,Activated,Not Activated,Online,Blinking,Offline
2020-08-01,PVT,160,53,107,84,23,33,0,51
2020-08-01,PVT2,239,53,186,162,24,93,4,65
2020-08-01,MP1,377,57,320,277,43,209,7,61
2020-08-01,MP1m,53,4,49,44,5,34,0,10
2020-08-01,MP2,756,71,685,644,41,567,18,59
2020-08-01,MP3,703,68,635,584,51,505,21,58
2020-08-01,MP4,529,10,519,346,173,259,52,35
2020-08-01,MP5,0,1,0,0,0,0,0,0
2020-08-02,PVT,160,53,107,84,23,33,0,51
2020-08-02,PVT2,239,53,186,162,24,92,4,66
2020-08-02,MP1,377,57,320,277,43,206,8,63
2020-08-02,MP1m,53,4,49,44,5,34,0,10
2020-08-02,MP2,756,71,685,644,41,568,17,59
2020-08-02,MP3,703,68,635,585,50,505,21,59
2020-08-02,MP4,529,10,519,366,153,266,55,45
2020-08-02,MP5,0,1,0,0,0,0,0,0
2020-08-03,PVT,160,53,107,84,23,32,0,52
2020-08-03,PVT2,239,53,186,162,24,92,5,65
2020-08-03,MP1,377,58,319,276,43,207,8,61
2020-08-03,MP1m,53,4,49,44,5,34,0,10
2020-08-03,MP2,756,71,685,644,41,571,13,60
2020-08-03,MP3,703,69,634,584,50,502,24,58
2020-08-03,MP4,529,12,517,376,141,281,55,40
2020-08-03,MP5,0,1,0,0,0,0,0,0
2020-08-04,PVT,160,53,107,84,23,32,0,52
2020-08-04,PVT2,239,53,186,162,24,90,5,67
2020-08-04,MP1,377,58,319,276,43,207,7,62
2020-08-04,MP1m,53,4,49,44,5,34,0,10
2020-08-04,MP2,756,71,685,644,41,571,14,59
2020-08-04,MP3,703,69,634,584,50,501,26,57
2020-08-04,MP4,554,12,542,382,160,283,65,34
2020-08-04,MP5,0,1,0,0,0,0,0,0
2020-08-05,PVT,160,53,107,84,23,31,1,52
2020-08-05,PVT2,239,53,186,162,24,89,5,68
2020-08-05,MP1,377,59,318,275,43,205,8,62
2020-08-05,MP1m,53,4,49,44,5,34,0,10
2020-08-05,MP2,756,71,685,644,41,570,12,62
2020-08-05,MP3,703,69,634,586,48,498,30,58
2020-08-05,MP4,554,12,542,386,156,289,65,32
2020-08-05,MP5,0,1,0,0,0,0,0,0
2020-08-06,PVT,160,53,107,84,23,29,1,54
2020-08-06,PVT2,239,53,186,162,24,88,6,68
2020-08-06,MP1,377,59,318,275,43,206,7,62
2020-08-06,MP1m,53,4,49,44,5,34,0,10
2020-08-06,MP2,756,72,684,643,41,568,11,64
2020-08-06,MP3,703,72,631,583,48,500,28,55
2020-08-06,MP4,562,12,550,389,161,294,63,32
2020-08-06,MP5,0,1,0,0,0,0,0,0
2020-08-07,PVT,160,53,107,84,23,29,1,54
2020-08-07,PVT2,239,53,186,162,24,88,5,69
2020-08-07,MP1,377,59,318,275,43,205,8,62
2020-08-07,MP1m,53,4,49,45,4,34,0,11
2020-08-07,MP2,756,73,683,643,40,571,6,66
2020-08-07,MP3,703,73,630,584,46,496,31,57
2020-08-07,MP4,562,12,550,393,157,306,53,34
2020-08-07,MP5,0,1,0,0,0,0,0,0
2020-08-08,PVT,160,53,107,84,23,29,1,54
2020-08-08,PVT2,239,53,186,162,24,89,5,68
2020-08-08,MP1,377,59,318,275,43,207,5,63
2020-08-08,MP1m,53,4,49,45,4,34,1,10
2020-08-08,MP2,756,73,683,643,40,569,9,65
2020-08-08,MP3,703,73,630,585,45,498,28,59
2020-08-08,MP4,595,12,583,411,172,321,44,46
2020-08-08,MP5,0,1,0,0,0,0,0,0
2020-08-09,PVT,160,53,107,84,23,29,1,54
2020-08-09,PVT2,239,53,186,162,24,89,5,68
2020-08-09,MP1,377,59,318,275,43,204,5,66
2020-08-09,MP1m,53,4,49,45,4,34,1,10
2020-08-09,MP2,756,73,683,643,40,565,12,66
2020-08-09,MP3,703,73,630,586,44,493,32,61
2020-08-09,MP4,595,12,583,435,148,328,51,56
2020-08-09,MP5,0,1,0,0,0,0,0,0
2020-08-10,PVT,160,53,107,84,23,29,1,54
2020-08-10,PVT2,239,53,186,162,24,85,8,69
2020-08-10,MP1,377,59,318,275,43,206,3,66
2020-08-10,MP1m,53,4,49,45,4,35,1,9
2020-08-10,MP2,756,75,681,643,38,564,9,70
2020-08-10,MP3,703,74,629,586,43,487,39,60
2020-08-10,MP4,595,14,581,449,132,334,65,50
2020-08-10,MP5,0,1,0,0,0,0,0,0
2020-08-11,PVT,160,53,107,84,23,29,1,54
2020-08-11,PVT2,239,53,186,162,24,88,5,69
2020-08-11,MP1,377,59,318,275,43,205,4,66
2020-08-11,MP1m,53,4,49,45,4,35,1,9
2020-08-11,MP2,756,75,681,643,38,561,12,70
2020-08-11,MP3,703,74,629,586,43,485,39,62
2020-08-11,MP4,622,14,608,468,140,337,71,60
2020-08-11,MP5,0,1,0,0,0,0,0,0
2020-08-12,PVT,160,53,107,84,23,30,0,54
2020-08-12,PVT2,239,53,186,162,24,88,5,69
2020-08-12,MP1,377,59,318,275,43,206,3,66
2020-08-12,MP1m,53,4,49,45,4,35,1,9
2020-08-12,MP2,756,75,681,643,38,559,14,70
2020-08-12,MP3,703,74,629,586,43,482,40,64
2020-08-12,MP4,629,14,615,475,140,336,84,55
2020-08-12,MP5,2,1,2,0,2,0,0,0
2020-08-13,PVT,160,53,107,84,23,30,0,54
2020-08-13,PVT2,239,54,185,161,24,87,4,70
2020-08-13,MP1,377,60,317,274,43,206,3,65
2020-08-13,MP1m,53,4,49,45,4,36,0,9
2020-08-13,MP2,756,75,681,644,37,558,14,72
2020-08-13,MP3,703,76,627,584,43,483,39,62
2020-08-13,MP4,642,17,625,480,145,339,95,46
2020-08-13,MP5,2,1,2,0,2,0,0,0
2020-08-14,PVT,160,53,107,84,23,29,1,54
2020-08-14,PVT2,239,54,185,161,24,84,4,73
2020-08-14,MP1,377,60,317,274,43,205,4,65
2020-08-14,MP1m,53,4,49,45,4,37,0,8
2020-08-14,MP2,756,76,680,643,37,554,16,73
2020-08-14,MP3,703,76,627,585,42,485,41,59
2020-08-14,MP4,642,19,623,483,140,351,87,45
2020-08-14,MP5,12,1,12,0,12,0,0,0
2020-08-15,PVT,160,53,107,84,23,29,1,54
2020-08-15,PVT2,239,54,185,161,24,83,2,76
2020-08-15,MP1,377,60,317,274,43,205,4,65
2020-08-15,MP1m,53,4,49,45,4,36,0,9
2020-08-15,MP2,756,76,680,643,37,554,17,72
2020-08-15,MP3,703,76,627,585,42,486,37,62
2020-08-15,MP4,642,19,623,489,134,366,78,45
2020-08-15,MP5,23,1,23,0,23,0,0,0
2020-08-16,PVT,160,53,107,84,23,29,2,53
2020-08-16,PVT2,239,54,185,161,24,82,2,77
2020-08-16,MP1,377,60,317,274,43,207,2,65
2020-08-16,MP1m,53,4,49,45,4,36,0,9
2020-08-16,MP2,756,76,680,643,37,554,16,73
2020-08-16,MP3,703,76,627,586,41,485,38,63
2020-08-16,MP4,642,19,623,504,119,375,74,55
2020-08-16,MP5,23,1,23,1,22,0,0,1
2020-08-17,PVT,160,53,107,84,23,29,2,53
2020-08-17,PVT2,239,55,184,160,24,80,5,75
2020-08-17,MP1,377,60,317,274,43,207,2,65
2020-08-17,MP1m,53,4,49,45,4,36,0,9
2020-08-17,MP2,756,77,679,642,37,554,18,70
2020-08-17,MP3,703,77,626,586,40,493,27,66
2020-08-17,MP4,642,23,619,507,112,389,69,49
2020-08-17,MP5,23,1,23,4,19,0,1,3
2020-08-18,PVT,160,53,107,84,23,29,2,53
2020-08-18,PVT2,239,55,184,160,24,80,8,72
2020-08-18,MP1,377,60,317,275,42,206,3,66
2020-08-18,MP1m,53,4,49,45,4,35,1,9
2020-08-18,MP2,756,77,679,642,37,554,17,71
2020-08-18,MP3,703,77,626,588,38,495,25,68
2020-08-18,MP4,642,25,617,510,107,400,66,44
2020-08-18,MP5,23,1,23,6,17,0,4,2
2020-08-19,PVT,160,53,107,84,23,28,1,55
2020-08-19,PVT2,239,55,184,160,24,82,7,71
2020-08-19,MP1,377,62,315,273,42,202,5,66
2020-08-19,MP1m,53,4,49,45,4,35,1,9
2020-08-19,MP2,756,77,679,642,37,553,16,73
2020-08-19,MP3,703,78,625,588,37,497,25,66
2020-08-19,MP4,642,26,616,519,97,413,55,51
2020-08-19,MP5,23,1,23,8,15,0,6,2
2020-08-20,PVT,160,53,107,84,23,28,1,55
2020-08-20,PVT2,239,55,184,160,24,83,6,71
2020-08-20,MP1,377,62,315,274,41,201,5,68
2020-08-20,MP1m,53,4,49,45,4,35,1,9
2020-08-20,MP2,756,77,679,642,37,550,17,75
2020-08-20,MP3,703,78,625,588,37,493,31,64
2020-08-20,MP4,642,26,616,526,90,416,58,52
2020-08-20,MP5,23,1,23,9,14,0,7,2
2020-08-21,PVT,160,53,107,85,22,29,1,55
2020-08-21,PVT2,239,56,183,159,24,83,5,71
2020-08-21,MP1,377,62,315,274,41,200,5,69
2020-08-21,MP1m,53,4,49,45,4,35,1,9
2020-08-21,MP2,756,79,677,640,37,551,16,73
2020-08-21,MP3,703,80,623,587,36,495,29,63
2020-08-21,MP4,642,31,611,525,86,426,57,42
2020-08-21,MP5,23,1,23,12,11,0,9,3
2020-08-22,PVT,160,53,107,85,22,28,1,56
2020-08-22,PVT2,239,56,183,159,24,82,5,72
2020-08-22,MP1,377,62,315,274,41,198,5,71
2020-08-22,MP1m,53,4,49,45,4,35,1,9
2020-08-22,MP2,756,79,677,640,37,557,8,75
2020-08-22,MP3,703,80,623,587,36,493,28,66
2020-08-22,MP4,642,31,611,527,84,441,46,40
2020-08-22,MP5,23,1,23,13,10,0,11,2
2020-08-23,PVT,160,53,107,85,22,27,2,56
2020-08-23,PVT2,239,56,183,159,24,84,2,73
2020-08-23,MP1,377,62,315,274,41,198,6,70
2020-08-23,MP1m,53,4,49,45,4,35,0,10
2020-08-23,MP2,756,79,677,640,37,552,8,80
2020-08-23,MP3,703,80,623,587,36,490,28,69
2020-08-23,MP4,642,31,611,532,79,445,41,46
2020-08-23,MP5,23,1,23,14,9,3,9,2
2020-08-24,PVT,160,53,107,85,22,27,2,56
2020-08-24,PVT2,239,56,183,159,24,84,1,74
2020-08-24,MP1,377,62,315,274,41,198,6,70
2020-08-24,MP1m,53,4,49,45,4,35,1,9
2020-08-24,MP2,756,79,677,640,37,550,11,79
2020-08-24,MP3,703,80,623,587,36,491,25,71
2020-08-24,MP4,642,31,611,535,76,449,40,46
2020-08-24,MP5,23,1,23,16,7,4,10,2
2020-08-25,PVT,160,53,107,85,22,27,3,55
2020-08-25,PVT2,239,57,182,158,24,84,2,72
2020-08-25,MP1,377,63,314,273,41,199,4,70
2020-08-25,MP1m,53,4,49,45,4,35,1,9
2020-08-25,MP2,756,79,677,640,37,548,14,78
2020-08-25,MP3,703,82,621,586,35,491,23,72
2020-08-25,MP4,642,35,607,534,73,456,36,42
2020-08-25,MP5,23,1,23,17,6,5,10,2
2020-08-26,PVT,160,53,107,85,22,28,2,55
2020-08-26,PVT2,239,57,182,158,24,83,2,73
2020-08-26,MP1,377,63,314,273,41,199,5,69
2020-08-26,MP1m,53,4,49,45,4,35,1,9
2020-08-26,MP2,756,79,677,640,37,545,12,83
2020-08-26,MP3,703,82,621,586,35,488,19,79
2020-08-26,MP4,642,35,607,534,73,463,31,40
2020-08-26,MP5,86,1,86,18,68,6,10,2
2020-08-27,PVT,160,53,107,85,22,27,3,55
2020-08-27,PVT2,239,57,182,158,24,81,2,75
2020-08-27,MP1,377,63,314,273,41,199,4,70
2020-08-27,MP1m,53,4,49,45,4,35,1,9
2020-08-27,MP2,756,79,677,640,37,547,9,84
2020-08-27,MP3,703,82,621,586,35,488,19,79
2020-08-27,MP4,642,35,607,535,72,468,26,41
2020-08-27,MP5,86,1,86,18,68,10,8,0
2020-08-28,PVT,160,53,107,85,22,27,3,55
2020-08-28,PVT2,239,58,181,157,24,82,1,74
2020-08-28,MP1,377,63,314,273,41,202,1,70
2020-08-28,MP1m,53,4,49,45,4,35,0,10
2020-08-28,MP2,756,79,677,640,37,541,14,85
2020-08-28,MP3,703,83,620,586,34,479,26,81
2020-08-28,MP4,642,38,604,533,71,465,30,38
2020-08-28,MP5,131,1,131,31,100,11,8,12
2020-08-29,PVT,160,53,107,85,22,29,2,54
2020-08-29,PVT2,239,58,181,157,24,82,1,74
2020-08-29,MP1,377,63,314,273,41,203,1,69
2020-08-29,MP1m,53,4,49,45,4,35,0,10
2020-08-29,MP2,756,80,676,639,37,539,17,83
2020-08-29,MP3,703,83,620,586,34,476,28,82
2020-08-29,MP4,642,38,604,534,70,467,26,41
2020-08-29,MP5,131,1,131,41,90,13,17,11
2020-08-30,PVT,160,53,107,85,22,30,1,54
2020-08-30,PVT2,239,58,181,157,24,83,0,74
2020-08-30,MP1,377,63,314,273,41,201,1,71
2020-08-30,MP1m,53,4,49,45,4,35,0,10
2020-08-30,MP2,756,80,676,639,37,539,16,84
2020-08-30,MP3,703,83,620,587,33,478,22,87
2020-08-30,MP4,642,38,604,535,69,472,24,39
2020-08-30,MP5,131,1,131,56,75,14,24,18
2020-08-31,PVT,160,53,107,85,22,30,0,55
2020-08-31,PVT2,239,58,181,157,24,83,0,74
2020-08-31,MP1,377,63,314,274,40,198,1,75
2020-08-31,MP1m,53,4,49,45,4,36,0,9
2020-08-31,MP2,756,81,675,638,37,535,17,86
2020-08-31,MP3,703,83,620,587,33,477,24,86
2020-08-31,MP4,642,38,604,537,67,474,21,42
2020-08-31,MP5,131,1,131,68,63,14,37,17
2020-09-01,PVT,160,53,107,85,22,30,0,55
2020-09-01,PVT2,239,58,181,157,24,83,0,74
2020-09-01,MP1,377,63,314,274,40,197,1,76
2020-09-01,MP1m,53,4,49,45,4,36,0,9
2020-09-01,MP2,756,81,675,638,37,532,17,89
2020-09-01,MP3,703,83,620,587,33,473,29,85
2020-09-01,MP4,642,40,602,537,65,469,25,43
2020-09-01,MP5,131,1,131,81,50,16,44,21
2020-09-02,PVT,160,53,107,85,22,30,0,55
2020-09-02,PVT2,239,58,181,157,24,83,0,74
2020-09-02,MP1,377,63,314,274,40,196,3,75
2020-09-02,MP1m,53,4,49,45,4,36,0,9
2020-09-02,MP2,756,81,675,638,37,533,17,88
2020-09-02,MP3,703,83,620,587,33,472,23,92
2020-09-02,MP4,642,40,602,538,64,468,24,46
2020-09-02,MP5,169,1,169,89,80,17,60,12
2020-09-03,PVT,160,53,107,85,22,30,0,55
2020-09-03,PVT2,239,58,181,157,24,83,0,74
2020-09-03,MP1,377,63,314,274,40,194,4,76
2020-09-03,MP1m,53,4,49,45,4,36,0,9
2020-09-03,MP2,756,81,675,638,37,529,18,91
2020-09-03,MP3,703,83,620,587,33,470,20,97
2020-09-03,MP4,642,40,602,540,62,466,26,48
2020-09-03,MP5,169,1,169,95,74,28,54,13
2020-09-04,PVT,160,53,107,85,22,29,0,56
2020-09-04,PVT2,239,58,181,157,24,81,1,75
2020-09-04,MP1,377,63,314,274,40,194,5,75
2020-09-04,MP1m,53,4,49,45,4,36,0,9
2020-09-04,MP2,756,81,675,638,37,532,15,91
2020-09-04,MP3,703,83,620,587,33,467,20,100
2020-09-04,MP4,642,40,602,540,62,465,29,46
2020-09-04,MP5,169,1,169,98,71,34,52,12
2020-09-05,PVT,160,53,107,85,22,29,0,56
2020-09-05,PVT2,239,58,181,157,24,80,1,76
2020-09-05,MP1,377,63,314,274,40,194,4,76
2020-09-05,MP1m,53,4,49,45,4,36,0,9
2020-09-05,MP2,756,81,675,638,37,533,12,93
2020-09-05,MP3,703,83,620,587,33,465,19,103
2020-09-05,MP4,642,40,602,541,61,463,29,49
2020-09-05,MP5,199,1,199,99,100,44,49,6
2020-09-06,PVT,160,53,107,85,22,29,1,55
2020-09-06,PVT2,239,58,181,157,24,80,1,76
2020-09-06,MP1,377,63,314,274,40,191,4,79
2020-09-06,MP1m,53,4,49,45,4,36,0,9
2020-09-06,MP2,756,81,675,638,37,532,12,94
2020-09-06,MP3,703,83,620,587,33,466,21,100
2020-09-06,MP4,642,40,602,541,61,460,29,52
2020-09-06,MP5,199,1,199,103,96,56,38,9
2020-09-07,PVT,160,53,107,85,22,28,1,56
2020-09-07,PVT2,239,58,181,157,24,80,2,75
2020-09-07,MP1,377,63,314,274,40,190,4,80
2020-09-07,MP1m,53,4,49,45,4,36,0,9
2020-09-07,MP2,756,81,675,638,37,529,15,94
2020-09-07,MP3,703,83,620,587,33,465,23,99
2020-09-07,MP4,642,40,602,541,61,456,31,54
2020-09-07,MP5,199,1,199,108,91,70,28,10
2020-09-08,PVT,160,53,107,85,22,28,0,57
2020-09-08,PVT2,239,58,181,157,24,79,2,76
2020-09-08,MP1,377,63,314,274,40,192,2,80
2020-09-08,MP1m,53,4,49,45,4,36,0,9
2020-09-08,MP2,756,81,675,638,37,531,12,95
2020-09-08,MP3,703,83,620,588,32,461,21,106
2020-09-08,MP4,642,40,602,543,59,457,29,57
2020-09-08,MP5,199,1,199,114,85,79,23,12
2020-09-09,PVT,160,53,107,85,22,28,0,57
2020-09-09,PVT2,239,58,181,157,24,80,1,76
2020-09-09,MP1,377,63,314,275,39,190,2,83
2020-09-09,MP1m,53,4,49,45,4,36,0,9
2020-09-09,MP2,756,81,675,638,37,525,12,101
2020-09-09,MP3,703,83,620,588,32,461,17,110
2020-09-09,MP4,642,40,602,544,58,454,29,61
2020-09-09,MP5,226,1,226,126,100,81,23,22
2020-09-10,PVT,160,53,107,85,22,29,0,56
2020-09-10,PVT2,239,58,181,157,24,80,1,76
2020-09-10,MP1,377,63,314,275,39,189,3,83
2020-09-10,MP1m,53,4,49,45,4,36,0,9
2020-09-10,MP2,756,81,675,639,36,521,14,104
2020-09-10,MP3,703,83,620,588,32,464,18,106
2020-09-10,MP4,642,40,602,544,58,452,30,62
2020-09-10,MP5,226,1,226,140,86,84,28,28
2020-09-11,PVT,160,53,107,85,22,30,0,55
2020-09-11,PVT2,239,62,177,153,24,78,1,74
2020-09-11,MP1,377,64,313,274,39,187,3,84
2020-09-11,MP1m,53,4,49,45,4,36,0,9
2020-09-11,MP2,756,84,672,636,36,520,13,103
2020-09-11,MP3,703,86,617,585,32,460,24,101
2020-09-11,MP4,642,48,594,538,56,450,29,59
2020-09-11,MP5,251,5,247,143,104,89,41,13
2020-09-12,PVT,160,53,107,85,22,30,0,55
2020-09-12,PVT2,239,62,177,153,24,78,1,74
2020-09-12,MP1,377,64,313,274,39,185,3,86
2020-09-12,MP1m,53,4,49,45,4,36,0,9
2020-09-12,MP2,756,85,671,635,36,517,13,105
2020-09-12,MP3,703,86,617,585,32,452,27,106
2020-09-12,MP4,642,48,594,538,56,453,26,59
2020-09-12,MP5,251,5,247,144,103,91,43,10
2020-09-13,PVT,160,53,107,85,22,30,0,55
2020-09-13,PVT2,239,62,177,153,24,78,1,74
2020-09-13,MP1,377,64,313,274,39,186,3,85
2020-09-13,MP1m,53,4,49,45,4,37,0,8
2020-09-13,MP2,756,85,671,635,36,519,11,105
2020-09-13,MP3,703,86,617,585,32,445,28,112
2020-09-13,MP4,642,48,594,539,55,448,28,63
2020-09-13,MP5,251,5,247,151,96,95,44,12
2020-09-14,PVT,160,53,107,85,22,29,0,56
2020-09-14,PVT2,239,62,177,153,24,77,1,75
2020-09-14,MP1,377,64,313,274,39,184,4,86
2020-09-14,MP1m,53,4,49,45,4,37,0,8
2020-09-14,MP2,756,85,671,635,36,519,10,106
2020-09-14,MP3,703,86,617,585,32,441,31,113
2020-09-14,MP4,642,48,594,539,55,443,27,69
2020-09-14,MP5,251,5,247,157,90,97,45,15
2020-09-15,PVT,160,53,107,85,22,28,1,56
2020-09-15,PVT2,239,62,177,153,24,77,1,75
2020-09-15,MP1,377,65,312,273,39,184,6,83
2020-09-15,MP1m,53,4,49,45,4,36,0,9
2020-09-15,MP2,756,87,669,633,36,512,14,107
2020-09-15,MP3,703,90,613,581,32,438,33,110
2020-09-15,MP4,642,52,590,535,55,437,32,66
2020-09-15,MP5,251,7,245,168,77,104,43,21
2020-09-16,PVT,160,53,107,85,22,27,2,56
2020-09-16,PVT2,239,62,177,153,24,75,3,75
2020-09-16,MP1,377,65,312,273,39,181,8,84
2020-09-16,MP1m,53,4,49,45,4,36,0,9
2020-09-16,MP2,756,87,669,633,36,512,13,108
2020-09-16,MP3,703,90,613,581,32,440,25,116
2020-09-16,MP4,642,52,590,535,55,437,30,68
2020-09-16,MP5,267,7,261,179,82,117,43,19
2020-09-17,PVT,160,53,107,85,22,27,2,56
2020-09-17,PVT2,239,62,177,153,24,74,3,76
2020-09-17,MP1,377,65,312,273,39,183,11,79
2020-09-17,MP1m,53,4,49,45,4,36,0,9
